Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation,AC Coupled,DC Coupled,DC Tightly Coupled,Independent,Direct Support of Another Unit,Direct Support Plant ID 1,Direct Support Gen ID 1,Direct Support Plant ID 2,Direct Support Gen ID 2,Direct Support Plant ID 3,Direct Support Gen ID 3,Support T&D Asset
55983,Luminant Generation Company LLC,8063,DeCordova Steam Electric Station,TX,Hood,BESS,OP,Batteries,BA,IPP Non-CHP,2,269.1,260.0,260.0,7,2022,263,263,263,LIB,,,,137,CS,,Y,PR,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
65411,Duke Energy Renewables Services,56961,Notrees Windpower Hybrid,TX,Ector,BATT,OP,Batteries,BA,IPP Non-CHP,2,36.0,36.0,36.0,12,2012,13.6,36,36,LIB,,,,36,BL,,PR,,,,,,,,,,Y,,,,Y,56961,GE, ,VESTA, ,,Y
56215,"RWE Renewables Americas, LLC",56981,Pyron Wind Farm LLC Hybrid,TX,Fisher,PYRBT,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,1,2018,9.9,9.9,9.9,LIB,,,,3.3,CS,,PR,,,,,,,,,Y,Y,,,,Y,56981,1, ,, ,,Y
56215,"RWE Renewables Americas, LLC",56984,Inadale Wind Farm LLC Hybrid,TX,Nolan,INABT,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,1,2018,9.9,9.9,9.9,LIB,,,,3.3,CS,,PR,,,,,,,,,Y,Y,,,,Y,56984,1, ,, ,,Y
61123,Upton County Solar 2 LLC,60123,Castle Gap Solar Hybrid,TX,Upton,BAT1,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,6,2019,42,9.9,9.9,LIB,,,,4.8,CS,,Y,PR,,,,,,,,Y,Y,,,,Y,60123,CGAP, ,, ,,N
60389,Rabbit Hill Energy Storage Project,60649,Rabbit Hill Energy Storage Project,TX,Williamson,1,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,4,2020,9.9,9.9,9.9,LIB,,,,9.9,CS,PR,Y,,,,,,,,,,,,,Y,N, ,, ,, ,,N
60409,"Blue Summit Storage, LLC",60690,"Blue Summit Storage, LLC",TX,Wilbarger,WBSS,OP,Batteries,BA,IPP Non-CHP,2,30.0,30.0,30.0,8,2017,12.6,30,30,LIB,,,,12.5,CS,,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
54888,NRG Texas Power LLC,61362,NRG Elbow Creek Energy Storage Project,TX,Howard,ECBS,OS,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,11,2017,0.7,2,2,LIB,,,,2,CS,Y,PR,,,,,,,,,,,,,Y,N, ,, ,, ,,N
1015,Austin Energy,61741,Kingsberry Energy Storage System,TX,Travis,KBESS,OP,Batteries,BA,Electric Utility,1,1.5,1.5,1.5,9,2018,3,1.5,1.5,LIB,,,,1.5,CS,PR,,,,,,,,,,,,,,Y,N, ,, ,, ,,Y
1015,Austin Energy,61742,System Control Center,TX,Travis,GEN1,SB,Flywheels,FW,Electric Utility,1,2.5,2.5,2.5,6,2012,2.5,2.5,2.5,,,,,0,CS,,,,,,,,,,Y,,,,,,, ,, ,, ,,
1015,Austin Energy,61742,System Control Center,TX,Travis,GEN2,SB,Flywheels,FW,Electric Utility,1,2.5,2.5,2.5,6,2012,2.5,2.5,2.5,,,,,0,CS,,,,,,,,,,Y,,,,,,, ,, ,, ,,
62047,"Roadrunner Solar, LLC",62561,"Roadrunner, LLC Hybrid",TX,Upton,BA,OP,Batteries,BA,IPP Non-CHP,2,50.0,50.0,50.0,7,2023,108.6,50,50,LIB,,,,81,CS,PR,Y,,,,,,,Y,,,,,,,N, ,, ,, ,,N
62046,"High Lonesome Wind Power, LLC",62562,"High Lonesome Wind Power, LLC Hybrid",TX,Upton,BA,OP,Batteries,BA,IPP Non-CHP,2,51.1,51.1,51.1,6,2023,81,51.1,51.1,LIB,,,,81.3,CS,PR,Y,,,,,,,Y,,Y,,,,Y,N, ,, ,, ,,N
16604,City of San Antonio - (TX),62609,Commerce ESS,TX,Bexar,BA1,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,6,2019,10,10,10,LIB,,,,10,CS,Y,Y,PR,,,,,,,,Y,,,,Y,N, ,, ,, ,,N
61728,GlidePath Power Operations LLC,62753,Prospect Storage,TX,Brazoria,BESS,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,1,2020,10,9.9,9.9,LIB,,,,3.3,CS,Y,Y,,PR,,,,,,,,,,,Y,N, ,, ,, ,,N
63012,"2W Permian Solar, LLC",63255,2W Permian Solar Project Hybrid,TX,Andrews,2WPBA,OP,Batteries,BA,IPP Non-CHP,2,40.0,40.0,40.0,10,2021,40,40,40,LIB,,,,13.1,BL,Y,Y,,PR,,,,,,,Y,Y,,,,Y,62355,2WPSO, ,, ,,N
63430,"Chisholm Grid, LLC",63737,Chisholm Grid Energy Storage System,TX,Tarrant,CHS01,OP,Batteries,BA,IPP Non-CHP,2,100.0,100.0,100.0,10,2021,125,100,100,LIB,,,,33,CS,PR,Y,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
63451,"Madero Grid, LLC",63757,Madero Grid,TX,Hidalgo,MAD01,OP,Batteries,BA,IPP Non-CHP,2,100.0,100.0,100.0,3,2023,100,100,100,LIB,,,,34,CS,PR,,,,,,,,Y,,,,,,Y,N, ,, ,, ,,N
63549,"Lily Solar, LLC",63892,Lily Solar Hybrid,TX,Kaufman,LILYB,OP,Batteries,BA,IPP Non-CHP,2,50.0,50.0,50.0,10,2021,80.5,50,50,LIB,,,,75,CS,PR,Y,,,,,,,Y,,,,,,,N, ,, ,, ,,N
63571,"Azure Sky Solar Project, LLC",63905,Azure Sky Solar,TX,Haskell,ASKYB,OP,Batteries,BA,IPP Non-CHP,2,77.6,77.6,77.6,6,2022,80.5,51.7,51.7,LIB,,,,77,CS,PR,Y,,,,,,,Y,,Y,,,,,N, ,, ,, ,,N
63723,"Ignacio Grid, LLC",64089,Ignacio Grid Energy Storage System,TX,Hidalgo,IGN01,OP,Batteries,BA,IPP Non-CHP,2,100.0,100.0,100.0,3,2023,100,100,100,LIB,,,,34,CS,PR,Y,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
63784,"Azure Sky Wind Project, LLC",64164,"Azure Sky Wind Project, LLC Hybrid",TX,Throckmorton,ASWBE,OP,Batteries,BA,IPP Non-CHP,2,120.0,120.0,120.0,9,2023,190,121.8,121.8,LIB,,,,195.5,CS,PR,Y,,,,,,,Y,,,,,,,N, ,, ,, ,,N
56201,Engie North America,64293,Alvin,TX,Brazoria,ALVIN,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,10,2020,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64294,Odessa,TX,Ector,ODSA,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,10,2020,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64295,Angleton,TX,Brazoria,ANGLE,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,11,2020,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64296,Brazoria,TX,Brazoria,BRAZ,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,11,2020,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64297,Heights,TX,Galveston,H8S,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,12,2020,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64298,Magnolia TX,TX,Galveston,MANGO,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,12,2020,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64312,Bat Cave,TX,Mason,BC,OP,Batteries,BA,IPP Non-CHP,2,100.0,100.0,100.0,10,2021,110,100,100,LIB,,,,103,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64314,Dickinson,TX,Galveston,DIKN,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,6,2021,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64315,Loop 463,TX,Victoria,LOOP,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,8,2021,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64316,Lopeno,TX,Zapata,LOPE,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,3,2022,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64317,North Fork TX,TX,Williamson,NF,OP,Batteries,BA,IPP Non-CHP,2,100.0,100.0,100.0,10,2021,110,100,100,LIB,,,,103,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64318,Pueblo BA,TX,Maverick,PBL1,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,3,2022,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64318,Pueblo BA,TX,Maverick,PBL2,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,3,2022,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64319,Ranchtown,TX,Bexar,RANCH,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,10,2021,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64321,Sweeny,TX,Brazoria,SWNY,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,4,2021,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64322,Zapata,TX,Zapata,ZPT1,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,3,2022,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
56201,Engie North America,64322,Zapata,TX,Zapata,ZPT2,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,3,2022,9.9,9.9,9.9,LIB,,,,11,CS,Y,PR,,Y,,,,,,,,,,,Y,N, ,, ,, ,,N
